sites_ID;Ref_number;Authors;Type;References;Voucher specimens
bor1115;0193;Schantz;Thesis;"Schantz, A. A. 2000. Levantamento da Diversidade de Borboletas (Lepidoptera; Rhopalocera), no Parque Estadual do Turvo, RS e no Parque Estadual de Itapuã, RS. M. S. Thesis, Universidade Federal do Rio Grande do Sul";Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul
bor1115;0194;Teixeira;Thesis;Teixeira, E. C. 2003. A diversidade de borboletas (Lepidoptera: Rhopalocera) como elemento de caracterização de diferentes ambientes do Parque Estadual de Itapuã, RS. M. S. Thesis, Universidade Federal do Rio Grande do Sul;Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul
bor1115;0195;Marchiori;Thesis;Marchiori, M. O. O. 2012. Composição e variação da assembléia de borboletas (Lepidoptera: Papilionoidea, Hesperioidea) ao longo do dia em matas de restinga e matas de araucária, Rio Grande do Sul, Brasil.;Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul
bor1115;0196;Fucilini;Thesis;Fucilini, L. L. 2014. Avaliação do Efeito de Diferentes Iscas na Captura de Borboletas Frugívoras e Diversidade da Assembleia de Borboletas Frugívoras do Parque Estadual de Itapuã, Viamão, Rio Grande do Sul, Brasil. M. S. Thesis, Universidade Federal do Rio Grande do Sul;Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul
bor1115;0197;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1116;0198;Zikan;Unpublished data;Personal database;Not informed
bor1117;0199;Moser;Unpublished data;Personal database;Alfred Moser Lepidoptera Collection (CLAM)
bor1118;0200;Romanowski et al;Unpublished data;BorbRS database;Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul
bor1118;0201;Camargo;Thesis;Camargo F. 2006. Avaliação da fauna de borboletas de seis áreas verdes de Porto Alegre, RS. M. S. Thesis, Universidade Federal do Rio Grande do Sul;Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul
bor1118;0202;Castro;Thesis;Castro, D. 2008. Diversidade de borboletas (LEPIDOPTERA PAPILIONOIDEA E HESPERIOIDEA) em três morros graníticos de Porto Alegre, RS. M. S. Thesis, Universidade Federal do Rio Grande do Sul;Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul
bor1118;0203;Teixeira;Monograph (TCC);Teixeira, M. O. 2005. Diversidade de Borboletas em duas áreas da Reserva Biológica do Lami, Porto Alegre, RS. Trabalho de conclusao de curso, Universidade Federal do Rio Grande do Sul;Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul
bor1119;0204;Zacca et al;Article;Zacca, T., Bravo, F., Araujo, M. X.  2011. Butterflies (Lepidoptera: Papilionoidea and Herperioidea) from Serra da Jiboia, Bahia State, Brazil. EntomoBrasilis 4(3): 139-143.;Entomological Collection Prof. Johann Becker, Museu de Zoologia, Universidade Estadual de Feira de Santana
bor1119;0205;Paluch;Unpublished data;Personal database;Entomological Collection Prof. Johann Becker, Museu de Zoologia, Universidade Estadual de Feira de Santana
bor1120;0206;Ebert;Article;Ebert, H. 1969. On the frequency of butterflies in eastern Brazil, with a list of butterfly fauna of Poços de Caldas, Minas Gerais. J. Lepid. Soc. 23(suplem. 3):1-48.;Not informed
bor1120;0207;Freitas;Unpublished data;Personal database;Personal collection
bor1121;0208;Brito et al;Article;Brito, M. M., Ribeiro, D. B., Raniero, M., Hasui, E., Ramos, F. N., Arab, A. 2014. Functional composition and phenology of fruit-feeding butterflies in a fragmented landscape: variation of seasonality between habitat specialists. Journal of Insect Conservation, 18(4): 547-560.;Entomology collection of Universidade Federal de Alfenas
bor1122;0209;Paluch;Unpublished data;Personal database;Not informed
