sites_ID;Ref_number;Authors;Type;References;Voucher specimens
bor1095;0167;Mielke et al ;Article;Mielke, O. H. H., Casagrande, M. M., Dolibaina, D. R., Carneiro, E., Dias, F. M. S., Leite, L. A. R. 2011. Borboletas (Lepidoptera: Hesperioidea e Papilionoidea) de Jaguariaiva, Parana, Brasil: Inventario em um enclave de cerrado meridional. Coletânea de Pesquisa do Parque Estadual de Vila Velha, Cerrado e Guartelá. pp 295-308.;
bor1096;0168;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1097;0169;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1098;0170;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1098;0171;Pereira et al;Article;Pereira, G. C.N., Coelho, M. S., Beirao, M. V., Braga, R. F., Fernandes, G. W. 2017. Diversity of fruit-feeding butterflies in a mountaintop archipelago of rainforest. Plos One 12(6): e0180007;
bor1099;0172;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1099;0173;Silva et al;Article;Silva, A. R. M., Pontes, D. V., Guimaraes, M. P., Oliveira, M. V., Assis, L. T. F., Uehara-Prado, M. 2015. Fruit-feeding butterflies (Lepidoptera: Nymphalidae) of the Area de Protecao Especial Manancial Mutuca, Nova Lima and Species list for the region of Belo Horizonte, Minas Gerais, Brazil. Biota Neotropica 15(3): e20140118.;Laboratorio de Zoologia, Centro Universitario UNA, Belo Horizonte
bor1100;0174;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1101;0175;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1102;0176;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1102;0177;Ribeiro et al;Unpublished data;Ribeiro, D. B., Iserhard, C. A., Barbosa, E. P., Santos, J. P., Brown, K. S., Freitas, A. V. L. 2012.  Inventario das borboletas da Estacao Ecologica de Jatai, Sao Paulo.;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1103;0178;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1104;0179;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1105;0180;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1106;0181;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1107;0182;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1108;0183;Brown;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1109;0184;Pedrotti et al;Article;Pedrotti, V. S., Barros, M. P., Romanowski, H. P., Iserhard, C. A. 2011. Borboletas frugivoras (Lepidoptera: Nymphalidae) ocorrentes em um fragmento de Floresta Ombrofila Mista no Rio Grande do Sul, Brasil. Biota Neotropica 11(1): 385-390.;Coleção de Referência de Lepidoptera do Departamento de Zoologia da Universidade Federal do Rio Grande do Sul
bor1110;0185;Iserhard;Unpublished data;Personal database;Not informed
bor1111;0186;Gawlinski;Unpublished data;Personal database;Not informed
bor1112;0187;Iserhard;Unpublished data;Personal database;Not informed
bor1112;0188;Bellaver et al;Article;Bellaver, J., Iserhard, C. A., Santos, J. P., Silva, A. K., Torres, M., Siewert, R. R., Moser, A., Romanowski, H. P. 2012. Borboletas (Lepidoptera: Papilionoidea e Hesperioidea) de Matas Paludosas e Matas de Restinga da Planicie Costeira da regiao sul do Brasil. Biota Neotropica 12(4): 181-190.;
bor1113;0189;Uehara-Prado;Unpublished data;Personal database;Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas
bor1114;0190;Romanowski et al;Unpublished data;BorbRS database;Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul
bor1114;0191;Moser;Unpublished data;Personal database;Alfred Moser Lepidoptera Collection (CLAM)
bor1115;0192;Romanowski et al;Unpublished data;BorbRS database;Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul
